Business Name,LatLong,Street Address,Address Line 2,City,State,Zip Code,Website,Phone,Neighborhood / Region,Region,Seattle Neighborhood,Accommodations,Food & Drink,Museums & Attractions,Retail,Services,Things To Do,Transportation
A&A Limousine & Bus Service,"47.757377,-122.250943",6705 NE 175 St,,Seattle,Washington,98028,http://A-Alimo.com,(206) 365-1008,All,All,,,,,,,,Transportation
AC Bellevue,"47.612339, -122.198135",208 106th Pl NE,,Bellevue,Washington,98004,https://www.marriott.com/hotels/travel/seaar-ac-hotel-Seattle-bellevue-downtown/,(425) 625-2450,Bellevue,Bellevue,,Accommodations,,,,,,
Aerlume,"47.611076, -122.344549",2003 Western Ave Suite C,,Seattle,Washington,98121,http://www.aerlumeSeattle.com,(206) 539-2200,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Agave Cocina & Cantina - Kent Station,"47.385064, -122.234729",504 Ramsay Way Suite 107,,Kent,Washington,98032,https://agaverest.com/,(253) 277-2053,Kent,Kent,,,Food &amp; Drink,,,,,
Agave Cocina & Cantina - Redmond,"47.671954, -122.111667",17158 Redmond Way Suite 180,,Redmond,Washington,98052,https://agaverest.com/,(425) 881-8252,Kent,Kent,,,Food &amp; Drink,,,,,
Agua Verde Cafe,"47.651743, -122.314311",1303 NE Boat Street,,Seattle,Washington,98105,http://Aguaverdecafe.com,(206) 545-8570,University District,Seattle,University District,,Food &amp; Drink,,,,,
Alaska Airlines,"47.443465, -122.295988",,,SeaTac,Washington,98188,http://alaskaair.com,(206) 304-0008,SeaTac,SeaTac,,,,,,,,Transportation
Alexandria Nicole Cellars,"47.733258, -122.141524",14810 NE 145th St.,,Woodinville,Washington,98072,http://www.ancwines.com,(425) 487-9463,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Alexis Hotel,"47.604887, -122.336755",1007 First Avenue,,Seattle,Washington,98104,http://www.alexishotel.com,(206) 624-4484,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
American Seafood Co,"47.629912, -122.379628","2001 West Garfield St., Pier 90, Bldg. A-310",,Seattle,Washington,98119,http://americanseafood.com,(206) 448-0300,Queen Anne,Seattle,Queen Anne,,,,,Services,,
Anthony's Bell Street Diner,"47.611027, -122.348200",2201 Alaskan Way,,Seattle,Washington,98121,https://www.anthonys.com/restaurants/detail/anthonys-bell-street-diner,(206) 448-6688,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Anthony's Fish Bar,"47.611027, -122.348200",2201 Alaskan Way,,Seattle,Washington,98121,https://www.anthonys.com/restaurants/detail/anthonys-fish-bar/,(206) 448-6688,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Anthony's HomePort - Des Moines,"47.397351, -122.328586",421 S. 227th Street,,Des Moines,Washington,98198,https://www.anthonys.com/restaurants/detail/anthonys-homeport-des-moines,(206) 824-1947,Des Moines,Des Moines,,,Food &amp; Drink,,,,,
Anthony's HomePort - Kirkland,"47.674183, -122.206304",135 Lake Street South,,Kirkland,Washington,98033,https://www.anthonys.com/restaurants/detail/anthonys-homeport-kirkland,(425) 822-0225,Kirkland,Kirkland,,,Food &amp; Drink,,,,,
Antigua Guatemala Restaurant,"47.381770, -122.246275",120 Washington Ave N,,Kent,Washington,98032,http://www.antiguaguatemalarestaurant.com,(253) 236-4437,Kent,Kent,,,Food &amp; Drink,,,Services,,
AQUA by El Gaucho,"47.614936, -122.355864",2801 Alaskan Way,,Seattle,Washington,98121,https://elgaucho.com/aquabyelgaucho/,(206) 956-9171,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Archer Hotel Redmond,"47.668878, -122.120617",7200 164th Ave. NE,,Redmond,Washington,98052,http://www.archerhotel.com/redmond,(425) 658-3000,Redmond,Redmond,,Accommodations,,,,,,
Archer's Kitchen + Bar,"47.668878, -122.120617",7200 164th Ave NE,,Redmond,Washington,98052,https://archerhotel.com/redmond/archer-kitchen,(425) 658-3000,Redmond,Redmond,,,Food &amp; Drink,,,,,
Armstrong Family Winery,"47.766098, -122.148458",19151 144th Ave NE,Suite I,Woodinville,Washington,98072,http://www.armstrongwinery.com,(425) 824-8494,Woodinville,Woodinville,,,Food &amp; Drink,,,,Things To Do,
Art by Fire,"47.532457, -122.036697",195 Front St N,,Issaquah,Washington,98027,https://artbyfire.com,(425) 996-8867,Issaquah,Issaquah,,,,,Retail,,Things To Do,
Banyan Tree,"47.385304, -122.234641",504 Ramsay Way Ste 105,,Kent,Washington,98032,http://www.BanyanTreeRestaurant.com,(253) 981-6333,Kent,Kent,,,Food &amp; Drink,,,,,
