Business Name,LatLong,Street Address,Address Line 2,City,State,Zip Code,Website,Phone,Neighborhood / Region,Neighborhood / Region,Region,Seattle Neighborhood,Accommodations,Food & Drink,Museums & Attractions,Retail,Services,Things To Do,Transportation
Alki Kayak Tours,"47.589465, -122.380678",1660 Harbor Ave SW,,Seattle,Washington,98126,http://Kayakalki.com,(206) 953-0237,West Seattle,,Seattle,West Seattle,,,X,,X,X,
Allegro Performing Arts Academy,"47.380395, -122.230104",222 Central Ave S,,Kent,Washington,98032,http://www.allegrodance.com,(253) 813-9630,Kent,,Kent,,,,,,X,X,
Anchorhead Coffee,"47.610917, -122.344527",2003 Western Ave STE 110A,,Seattle,Washington,98121,http://Anchorheadcoffee.com,(206) 501-6662,Downtown Seattle,,Seattle,Downtown,,X,,,,,
Argosy Cruises,"47.604807, -122.340050",1101 Alaskan Way,Pier 55 Suite 201,Seattle,Washington,98101,http://www.argosycruises.com,(206) 676-1445,Waterfront,,Seattle,Waterfront,,,X,,,,
Artech Fine Art Services,"47.615219, -122.350197",2601 1st Avenue,,Seattle,Washington,98121,http://www.artechfas.com,(206) 728-8822,All of Seattle and WA,,All,,,,,X,X,,
Azteca Mexican Restaurants,"47.462152, -122.336191",153 SW 158th St,,Burien,Washington,98166,http://azteca.burien@gmail.com,(206) 243-2241,Burien,,Burien,,,X,,,,,
Beardslee Public House and Brewery,"47.766378, -122.191507",19116 Beardslee Blvd,Suite 201,Bothell,Washington,98011,http://www.beardsleeph.com,(425) 286-1001,Bothell,,Bothell,,,X,,,,,
Best Buddy Dog Wash,"47.739679, -121.985737",15420 Main Street NE,Suite B,Duvall,Washington,98019,http://www.bestbuddydogwash.com,(425) 788-7700,Duvall,,Duvall,,,,,X,X,,
Black Diamond Historical Society/Museum,"47.308609, -122.007252",32627 Railroad Ave,,Black Diamond,Washington,98010,http://www.blackdiamondmuseum.org,(360) 886-2142,Black Diamond,,Black Diamond,,,,X,,,X,
Blue Danube Productions,"47.579333, -122.332617",151 S Lander Ste D,,Seattle,Washington,98134,http://www.bluedanubeproductions.com,(206) 971-0316,SoDo,,Seattle,SoDo,,,,,X,,
Bobae Coffee & Tea,"47.754399, -122.152090",14015 NE Woodinville Duvall Rd,,Woodinville,Washington,98072,http://www.bobaeusa.com,(425) 888-9666,Woodinville,,Woodinville,,,X,,,,,
Broadway Bound Children's  Theatre,"47.666155, -122.313757",5031 University Way Northeast,,Seattle,Washington,98105,http://www.broadwaybound.org,(206) 526-5437,University District,,Seattle,University District,,,,,,X,
Burke Museum,"47.660299, -122.311545",4300 15th Ave NE,,Seattle,Washington,98195,http://www.burkemuseum.org,(206) 543-7907,University District,,Seattle,University District,,X,X,X,,X,
Cheryl's Northwest Tours LLC,"47.466815, -122.340477",,,Burien,Washington,98166,https://www.cherylsnwtours.com,(206) 353-3330,Burien,,Burien,,,,,,X,,
Chontong Thai Cuisine,"47.459501, -122.292422",16005 International Blvd,,SeaTac,Washington,98188,http://ChontongThaiCuisine.com,(206) 588-0077,SeaTac,,SeaTac,,,X,,,,,
City Sightseeing Seattle by Urban Ourtings Seattle LLC,"47.634786, -122.376597",1631 15th Ave West,,Seattle,Washington,98119,http://www.city-sightseeing.com/Seattle,(800) 564-4160,All of Seattle and WA,,All,,,,,,,,X
Clarke & Clarke Art + Artifacts,"47.586550, -122.237375",7605 SE 27th St,#105,Mercer Island,Washington,98040,http://ethnoarts.com,(206) 232-4456,Mercer Island,,Mercer Island,,,,,X,,,
College Club Seattle,"47.649085, -122.325169",11 E Allison St,Slip #1,Seattle,Washington,98102,http://Collegeclubseattle.com,(206) 622-0624,South Lake Union,,Seattle,South Lake Union,,X,,,X,X,
Columbia Winery,"47.734267, -122.152672",14030 NE 145th St.,,Woodinville,Washington,98072,http://www.columbiawinery.com,(425) 482-7490,Woodinville,,Woodinville,,,X,,,,,
Copacabana Restaurant,"47.609357, -122.341339",1520 1/2 Pike Place,,Seattle,Washington,98101,http://pikeplacecopa.com,(206) 622-6359,Downtown Seattle,,Seattle,Downtown,,X,,,,,
Copious,"47.668822, -122.385776",2220 NW Market St.,Unit L00,Seattle,Washington,98107,http://www.copious.art,(206) 395-9864,Ballard,,Seattle,Ballard,,,X,,X,X,
Copper Kettle Coffee Bar,"47.608167, -122.178459",12001 Main Street,,Bellevue,Washington,98005,http://CKC-bellevue.square.site,(253) 260-6092,Bellevue,,Bellevue,,,X,,,,X,
Courtyard by Marriott Seattle Downtown Lake Union,"47.627381, -122.340393",925 Westlake Ave N,,Seattle,Washington,98109,http://www.marriottt.com/seacd,(206) 213-0100,South Lake Union,,Seattle,South Lake Union,X,,,,,,
Courtyard by Marriott Seattle Federal Way,"47.315801, -122.299662",31910 Gateway Center Blvd S,,Federal Way,Washington,98003,http://www.marriott.com/seafw,(253) 529-0200,Federal Way,,Federal Way,,X,,,,,,
Dump Truck by Plenty of Clouds,"47.667947, -122.386483",5456 Shilshole Ave. NW,Garden,Seattle,Washington,98107,http://www.plentyofclouds.com/dumptruck,(206) 279-5900,Ballard,,Seattle,Ballard,,X,,,,,
Family Fun Center and Bullwinkle's Restaurant,"47.465350, -122.243033",7300 Fun Center Way,,Tukwila,Washington,98188,http://www.fun-center.com,(425) 228-7300,Tukwila,,Tukwila,,,X,X,,,X,
Federal Way Performing Arts and Event Center,"47.319248, -122.307515",31510 Pete von Reichbauer Way S,,Federal Way,Washington,98003,https://fwpaec.org/,(253) 835-7010,Federal Way,,Federal Way,,,X,,,X,X,
Firenze Ristorante,"47.617426, -122.131762",15600 NE 8th St,,Bellevue,Washington,98008,http://www.firenzeristorante.com,(425) 957-1077,Bellevue,,Bellevue,,,X,,,,,
